iter	Passed	Remaining
195	2020	4165
196	2027	4146
197	2033	4129
198	2040	4111
199	2048	4097
200	2054	4077
201	2061	4061
202	2067	4043
203	2074	4027
204	2082	4013
205	2088	3995
206	2095	3978
207	2104	3965
208	2112	3952
209	2118	3934
210	2125	3917
211	2131	3900
212	2137	3883
213	2147	3872
214	2152	3855
215	2158	3838
216	2166	3823
217	2172	3807
218	2182	3797
219	2189	3782
220	2196	3766
221	2202	3750
222	2209	3735
223	2215	3718
224	2222	3704
225	2228	3687
226	2234	3671
227	2240	3655
228	2247	3640
229	2253	3625
230	2261	3611
231	2266	3595
232	2291	3609
233	2298	3595
234	2305	3581
235	2312	3567
236	2319	3552
237	2326	3538
238	2336	3529
239	2348	3522
240	2359	3515
241	2375	3514
242	2403	3531
243	2416	3525
244	2427	3517
245	2435	3505
246	2444	3494
247	2451	3479
248	2457	3464
249	2464	3450
250	2471	3436
251	2479	3424
252	2485	3409
253	2492	3395
254	2501	3384
255	2509	3372
256	2516	3358
257	2523	3344
258	2531	3333
259	2538	3319
260	2546	3307
261	2553	3293
262	2559	3279
263	2567	3267
264	2573	3253
265	2580	3240
266	2586	3225
267	2592	3211
268	2598	3197
269	2604	3183
270	2610	3169
271	2617	3156
272	2623	3142
273	2630	3129
274	2638	3117
275	2645	3105
276	2652	3093
277	2659	3080
278	2665	3066
279	2672	3053
280	2678	3040
281	2684	3027
282	2690	3014
283	2698	3002
284	2705	2989
285	2711	2976
286	2716	2963
287	2723	2950
288	2730	2937
289	2737	2926
290	2743	2913
291	2751	2902
292	2757	2889
293	2764	2877
294	2771	2865
295	2778	2853
296	2790	2846
297	2796	2834
298	2802	2821
299	2809	2809
300	2815	2796
301	2821	2784
302	2828	2772
303	2835	2760
304	2841	2748
305	2850	2738
306	2856	2726
307	2862	2713
308	2871	2703
309	2880	2694
310	2887	2683
311	2894	2672
312	2900	2659
313	2907	2647
314	2919	2641
315	2927	2630
316	2934	2619
317	2941	2608
318	2949	2598
319	2955	2586
320	2961	2573
321	2968	2562
322	2975	2552
323	2982	2541
324	2990	2530
325	2996	2518
326	3003	2507
327	3009	2495
328	3016	2484
329	3023	2474
330	3032	2464
331	3039	2453
332	3047	2443
333	3054	2432
334	3060	2421
335	3067	2410
336	3073	2398
337	3080	2387
338	3087	2377
339	3094	2366
340	3103	2357
341	3110	2346
342	3117	2335
343	3123	2324
344	3134	2317
345	3142	2306
346	3149	2296
347	3157	2286
348	3166	2277
349	3175	2267
350	3183	2258
351	3191	2248
352	3199	2238
353	3208	2229
354	3214	2218
355	3220	2207
356	3227	2197
357	3235	2186
358	3242	2176
359	3250	2166
360	3257	2156
361	3266	2147
362	3273	2137
363	3280	2127
364	3288	2117
365	3295	2106
366	3302	2096
367	3313	2088
368	3320	2078
369	3328	2069
370	3339	2061
371	3347	2051
372	3353	2040
373	3360	2030
374	3367	2020
375	3373	2009
376	3381	1999
377	3390	1991
378	3398	1981
379	3404	1970
380	3410	1960
381	3416	1949
382	3422	1939
383	3430	1929
384	3438	1920
385	3445	1910
386	3454	1901
387	3463	1892
388	3471	1882
389	3478	1872
390	3485	1863
391	3493	1853
392	3499	1843
393	3506	1833
394	3515	1824
395	3521	1814
396	3528	1804
397	3536	1794
398	3543	1785
399	3552	1776
400	3560	1766
401	3566	1756
402	3572	1746
403	3578	1736
404	3585	1726
405	3591	1716
406	3599	1706
407	3605	1696
408	3612	1686
409	3620	1677
410	3627	1668
411	3635	1659
412	3642	1649
413	3648	1639
414	3655	1629
415	3662	1619
416	3668	1610
417	3676	1600
418	3684	1591
419	3692	1582
420	3699	1572
421	3707	1563
422	3714	1554
423	3721	1544
424	3728	1535
425	3734	1525
426	3740	1515
427	3748	1506
428	3754	1496
429	3762	1487
430	3769	1478
431	3779	1469
432	3785	1459
433	3792	1450
434	3800	1441
435	3808	1432
436	3814	1422
437	3824	1414
438	3829	1404
439	3836	1395
440	3843	1385
441	3850	1376
442	3858	1367
443	3866	1358
444	3873	1349
445	3935	1358
446	3947	1351
447	3968	1346
448	3988	1341
449	4010	1336
450	4023	1329
451	4031	1320
452	4038	1310
453	4046	1301
454	4052	1291
455	4060	1282
456	4072	1274
457	4088	1267
458	4099	1259
459	4107	1249
460	4115	1240
461	4125	1232
462	4134	1223
463	4147	1215
464	4157	1206
465	4165	1197
466	4175	1189
467	4183	1179
468	4190	1170
469	4198	1161
470	4207	1152
471	4223	1145
472	4229	1135
473	4240	1127
474	4248	1118
475	4255	1108
476	4262	1099
477	4268	1089
478	4276	1080
479	4284	1071
480	4291	1061
481	4298	1052
482	4305	1042
483	4311	1033
484	4318	1023
485	4325	1014
486	4335	1005
487	4342	996
488	4350	987
489	4357	978
490	4366	969
491	4375	960
492	4385	951
493	4408	946
494	4417	937
495	4430	929
496	4440	920
497	4449	911
498	4458	902
499	4464	892
500	4472	883
501	4479	874
502	4486	865
503	4537	864
504	4543	854
505	4554	846
506	4568	838
507	4575	828
508	4581	819
509	4586	809
510	4593	800
511	4600	790
512	4607	781
513	4614	772
514	4620	762
515	4627	753
516	4634	744
517	4639	734
518	4646	725
519	4652	715
520	4658	706
521	4668	697
522	4673	688
523	4682	679
524	4690	670
525	4696	660
526	4704	651
527	4712	642
528	4719	633
529	4725	624
530	4732	614
531	4738	605
532	4745	596
533	4751	587
534	4757	577
535	4765	568
536	4771	559
537	4778	550
538	4784	541
539	4792	532
540	4798	523
541	4805	514
542	4810	504
543	4817	495
544	4825	486
545	4832	477
546	4839	468
547	4848	460
548	4854	450
549	4861	441
550	4867	432
551	4874	423
552	4880	414
553	4887	405
554	4893	396
555	4900	387
556	4907	378
557	4913	369
558	4921	360
559	4927	351
560	4935	343
561	4941	334
562	4947	325
563	4955	316
564	4962	307
565	4969	298
566	4976	289
567	4982	280
568	4991	271
569	4998	263
570	5005	254
571	5012	245
572	5018	236
573	5027	227
574	5033	218
575	5039	209
576	5047	201
577	5055	192
578	5061	183
579	5067	174
580	5075	165
581	5081	157
582	5088	148
583	5096	139
584	5103	130
585	5111	122
586	5116	113
587	5125	104
588	5137	95
589	5142	87
590	5151	78
591	5156	69
592	5161	60
593	5166	52
594	5171	43
595	5176	34
596	5181	26
597	5187	17
598	5192	8
599	5197	0
