iter	Logloss
0	0.657844184
1	0.6264025608
2	0.6004455295
3	0.5786047635
4	0.5592567274
55	0.54170486116	0.5296970486
7	0.5164628906
8	0.5048862847
9	0.4951291775
10	0.4858879666
11	0.4766373155112	0.4688537326
13	0.4619053811114	0.4563728291515	0.4512913951616	0.4470737301717	0.4436343851118	0.4401435547
19	0.4367351617
20	0.4333686523
21	0.4301659071
22	0.4278401693
23	0.425959554
24	0.4244682888
25	0.4222941895
26	0.4199775391
27	0.418369873
28	0.416311849
29	0.4148685438
30	0.4133134766
31	0.4114857856
32	0.4101342773
33	0.4089134386
34	0.4081855197
35	0.4068397895
36	0.405660753
37	0.4044359809
38	0.4037033691
39	0.402781901
40	0.4018253038
41	0.4009312066
42	0.400094184
43	0.3992671441
44	0.3984155273
45	0.3975672743
46	0.3966376953
47	0.3957658149
48	0.3950485569
49	0.3942787543
50	0.3936608887
51	0.3930526801
52	0.3923727214
53	0.3915214301
54	0.3907897678
55	0.390206326
56	0.3896559516
57	0.3892417535
58	0.3883319227
59	0.3881007487
60	0.3877028537
61	0.386923801
62	0.3863985189
63	0.3860311957
64	0.3855418837
65	0.3849973145
66	0.3845262044
67	0.3838335503
68	0.3835090061
69	0.3829531793
70	0.3824374729
71	0.382043674
72	0.3817985026
73	0.3812634549
74	0.3808622504
75	0.3805596246
76	0.3801430122
77	0.3797624783
78	0.3794370388
79	0.3789778646
80	0.3785769314
81	0.3781587999
82	0.3777502713
83	0.3774831814
84	0.3768899197
85	0.3763034668
86	0.3760733236
87	0.3759154188
88	0.3756781141
89	0.3751501736
90	0.3745857476
91	0.3743275282
92	0.3740098199
93	0.373857232
94	0.3736612684
95	0.3733984918
96	0.3730875109
97	0.3727695584
98	0.372508138
99	0.372277398
100	0.3720257975
101	0.3714969889
102	0.3709692112
103	0.3707247179
104	0.3703044434
105	0.3698294
106	0.3696252984
107	0.3692145996
108	0.3690568576
109	0.3688717719
110	0.3684283854
111	0.3681267361
112	0.3678941515
113	0.3675662435
114	0.3668804796
115	0.3666003418
116	0.366196913
117	0.3657381185
118	0.365610026
119	0.3652603624
120	0.3646054145
121	0.3643075358
122	0.3640018717
123	0.3635612522
124	0.3630722385
125	0.3625155707
126	0.36221148
127	0.3618398709
128	0.3616840278
129	0.3614440918
130	0.3610030653
131	0.3605712891
132	0.3603376736
133	0.3597395562
134	0.3594458822
135	0.3593209907
136	0.3591348741
137	0.3585065647
138	0.3580356717
139	0.3578882921
140	0.3574966905
141	0.3569206543
142	0.356695204
143	0.3565856662
144	0.3561290961
145	0.3558363715
146	0.3554356825
147	0.3551937391
148	0.3548483073
149	0.3543893229
150	0.3540617133
151	0.3536911892
152	0.3535381673
153	0.3532701823
154	0.3530388455
155	0.3524804145
156	0.3523552517
157	0.3520446506
158	0.3518097873
159	0.3516591254
160	0.3514104546
161	0.3509022352
162	0.3507832845
163	0.3506150716
164	0.3500678711
165	0.3497793511
166	0.3494189453
167	0.3492836372
168	0.3489050022
169	0.3486371528
170	0.3483977593
171	0.3480472819
172	0.3477309299
173	0.3474343533
174	0.3472277018
175	0.3468142904
176	0.3465620117
177	0.346171224
