iter	Logloss
178	0.3459046766
179	0.3454973958
180	0.3450961914
181	0.3446897244
182	0.3444200575
183	0.344044732
184	0.3433892687
185	0.3428943956
186	0.3423836263
187	0.3420735406
188	0.3418091634
189	0.3415054253
190	0.3411842719
191	0.3410196398
192	0.3406962619
193	0.3404086372
194	0.3400207791
195	0.339807373
196	0.3396141493
197	0.3393193902
198	0.3389960395
199	0.338785536
200	0.3385444065
201	0.3380598958
202	0.3377555067
203	0.3374399957
204	0.3369979384
205	0.3368411458
206	0.3362160373
207	0.3358428277
208	0.3354709473
209	0.3350957845
210	0.3345981174
211	0.334248508
212	0.3339044596
213	0.3334221463
214	0.3327987739
215	0.3325870226
216	0.3323754883
217	0.3321197917
218	0.3318210178
219	0.3314048123
220	0.3310169813
221	0.3306094293
222	0.3301935493
223	0.3298623318
224	0.3294583333
225	0.328876709
226	0.3285332031
227	0.3282147352
228	0.3279553494
229	0.3274654405
230	0.3272353244
231	0.3269078234
232	0.3263670247
233	0.3258000488
234	0.3254278429
235	0.3250692817
236	0.3249836697
237	0.3248270128
238	0.324652832
239	0.3241943359
240	0.3239932726
241	0.3237047526
242	0.3232723253
243	0.3229071452
244	0.3226085069
245	0.3222732747
246	0.3219590115
247	0.3216898872
248	0.3213834635
249	0.3210120985
250	0.3205204536
251	0.3202982313
252	0.3199683702
253	0.3198330621
254	0.3194552138
255	0.3193023546
256	0.3190009223
257	0.3188357747
258	0.3185345052
259	0.3183483073
260	0.3179589844
261	0.3176617839
262	0.3171069336
263	0.3168897569
264	0.3166078559
265	0.3161669108
266	0.3158472222
267	0.3154771322
268	0.3150834418
269	0.3148467882
270	0.3145498318
271	0.3143197428
272	0.314176161
273	0.3138231879
274	0.313484375
275	0.3131221517
276	0.3127931858
277	0.3124231228
278	0.3121930067
279	0.3118284776
280	0.3114508735
281	0.3110808919
282	0.310566786
283	0.3102520074
284	0.3100740017
285	0.3099145237
286	0.3095251194
287	0.3091102702
288	0.3087724067
289	0.3083828396
290	0.3079771593
291	0.3077370877
292	0.3075733507
293	0.3071655002
294	0.306805447
295	0.3065276964
296	0.3065003798
297	0.3062223307
298	0.3060246311
299	0.3055990126
300	0.3053452691
301	0.3050375977
302	0.3047356228
303	0.3043304308
304	0.304170383
305	0.3038311632
306	0.3036854655
307	0.3035494792
308	0.3032036675
309	0.3029001465
310	0.3024645182
311	0.3020549859
312	0.3019006348
313	0.3014761827
314	0.3010521647
315	0.300711263
316	0.3005662435
317	0.3002934299
318	0.3000159505
319	0.2996637099
320	0.2993063422
321	0.2991371799
322	0.298671441
323	0.2983679742
324	0.2980758192
325	0.2977188856
326	0.2974310981
327	0.2973258192
328	0.2970251465
329	0.2967470161
330	0.2964958225
331	0.2962686903
332	0.2958620334
333	0.2956239963
334	0.2952649197
335	0.2949701063
336	0.2947080621
337	0.2944589844
338	0.2940569661
339	0.2937841254
340	0.2933715549
341	0.2932032878
342	0.2929986979
343	0.2927022841
344	0.2923023275
345	0.2919566515
346	0.2916895616
347	0.2912973904
348	0.2911475694
349	0.2908058539
350	0.2906979167
351	0.2905121528
352	0.2901907823
353	0.2899960124
354	0.2897840169
355	0.2895152452
356	0.2893347168
357	0.2889259983
358	0.2885791829
359	0.2882536621
360	0.2880663249
361	0.2880165473
362	0.2876939562
363	0.2874080404
364	0.2869663628
365	0.2866778429
366	0.2864474555
367	0.2862592231
368	0.286025472
369	0.2857247179
370	0.2854401042
371	0.2851318902
372	0.2848874783
373	0.2847598741
374	0.2845884874
375	0.2843289659
376	0.2839769423
377	0.2836837294
378	0.2833272841
379	0.2831346029
380	0.2828661296
381	0.282350803
382	0.2819023709
383	0.281559299
384	0.2814543186
385	0.2811504991
386	0.2807915039
387	0.2805021159
388	0.2802169054
389	0.2798802626
390	0.2795289171
391	0.2792358127
392	0.2790720757
393	0.2789567329
394	0.2786130914
395	0.2783006185
396	0.2782111274
397	0.2778336046
398	0.277601671
399	0.2772571615
400	0.2770833605
401	0.2769096408
402	0.2766354709
403	0.2763529188
404	0.2760926649
405	0.275650472
406	0.2754629991
407	0.2752648926
408	0.2749898275
409	0.2747139214
410	0.2744357096
411	0.2741877441
412	0.2738887261
413	0.2735974121
414	0.2733084039
415	0.2730185547
416	0.2727137587
417	0.2725467394
418	0.2722674154
419	0.2721883138
420	0.2721450467
421	0.2719937609
422	0.2718977865
423	0.2717689345
424	0.2714321289
425	0.2713592122
426	0.2711083442
427	0.2709142524
428	0.2708192003
429	0.2706959364
430	0.270436849
431	0.2701722005
432	0.2699545356
433	0.2697371419
434	0.26948074
435	0.2692363824
436	0.2690245497
437	0.2687072211
438	0.2685323351
439	0.2683802083
440	0.2680943197
441	0.2678050944
442	0.2676429036
443	0.2674643555
444	0.2671676432
445	0.2669166667
446	0.2666567112
447	0.2664306369
448	0.2661633572
449	0.2660142144
450	0.2657535536
451	0.2655312229
452	0.2655143772
453	0.2652762858
454	0.2650842556
455	0.2649031304
456	0.2646219618
457	0.2644176161
458	0.2642587891
459	0.2641106771
460	0.2638924425
461	0.2636992459
462	0.2635075412
463	0.2633368056
464	0.2630925022
465	0.262796441
466	0.2626344944
467	0.2624660373
468	0.2623681641
469	0.2620189345
470	0.261765191
471	0.2615789388
472	0.2613799099
473	0.2611322157
474	0.2610095486
475	0.2607305773
476	0.2605951606
477	0.260486952
478	0.260370497
479	0.2601123589
480	0.2597583822
481	0.2595938043
482	0.2594970161
483	0.2592721354
484	0.2589814996
485	0.2587439236
486	0.2585855306
487	0.2584023709
488	0.2581374783
489	0.2579226888
490	0.2577593316
491	0.2576037869
492	0.2574670681
493	0.2572967394
494	0.2570294325
495	0.2568174099
496	0.2567319607
497	0.2564921332
498	0.2563580729
499	0.2561290419
500	0.2558573134
501	0.2556922472
502	0.255427653
503	0.2552757433
504	0.2549648166
505	0.2547749566
506	0.254541314
507	0.2542870009
508	0.2539802789
509	0.2537830946
510	0.2535899251
511	0.2533114692
512	0.2531323242
513	0.252802219
514	0.2524946832
515	0.252411811
516	0.2522926975
517	0.2519306641
518	0.251677436
519	0.2515157064
520	0.2513293457
521	0.2511802029
522	0.2510933702
523	0.25085102
524	0.2507374403
525	0.2505113932
526	0.2502339138
527	0.2499913737
528	0.2497214898
529	0.2495068359
530	0.249429796
531	0.2492952474
532	0.2492051053
533	0.2491196289
534	0.2488141819
535	0.2486695692
536	0.2483551704
537	0.2481503092
538	0.2479850803
539	0.2477803277
540	0.2476518555
541	0.2475435927
542	0.2473441298
543	0.2472185059
544	0.2469972602
545	0.2467168511
546	0.2466059028
547	0.2464085286
548	0.2462668728
549	0.2459807943
550	0.2458408203
551	0.2456946343
552	0.245551161
553	0.2454503581
554	0.2452120497
555	0.2450111762
556	0.2448916829
557	0.2448196072
558	0.2445962999
559	0.2443953451
560	0.2441736111
561	0.2439547526
562	0.243572998
563	0.2431604275
564	0.2429153103
565	0.2427378201
566	0.242517334
567	0.242312283
568	0.2422742513
569	0.242062934
570	0.2419878743
571	0.2416989475
572	0.2415062663
573	0.241293023
574	0.2411394043
575	0.2409429796
576	0.2408109809
577	0.2406734484
578	0.2404111328
579	0.2401943359
580	0.2399973687
581	0.2397467448
582	0.2395638021
583	0.2393948568
584	0.2391904297
585	0.2389714084
586	0.2387283257
587	0.2386355794
588	0.2382835286
589	0.238034885
590	0.2378383789
591	0.2376616211
592	0.2376088325
593	0.2374997016
594	0.2371930881
595	0.2370531141
596	0.236929579
597	0.2367807888
598	0.2365378689
599	0.2364016656
